Run_ID,Experiment,Replica,Tool_ID,Group,Subgroup,Position,Condition,TCond,Machined_length,Init_diameter,Final_diameter,CTime,R_measurement,ap,vc,f,Ra,Rz,Rsk,Rku,RSm,Rt,Fx,Fy,Fz,F
1_071_B3_22_d,1,2,71,3,8,d,22,0.0,12,89.4,87.8,na,5,0.8,350,0.07,0.566,2.187,0.078,1.65,70.8,2.478,172.4,59.8,126.3,221.9222612
1_071_B3_22_d,1,2,71,3,8,d,22,0.0,12,89.4,87.8,na,6,0.8,350,0.07,0.539,2.245,0.148,1.75,70.6,2.389,172.4,59.8,126.3,221.9222612
1_071_B3_24_e,1,2,71,3,8,e,24,0.0,12,89.4,87.8,na,1,0.8,350,0.13,0.829,4.152,0.635,2.753,138.1,4.208,288.5,97.54,218.6,374.8763284
1_071_B3_24_e,1,2,71,3,8,e,24,0.0,12,89.4,87.8,na,2,0.8,350,0.13,0.892,4.297,0.543,2.599,128.3,4.44,288.5,97.54,218.6,374.8763284
1_071_B3_24_e,1,2,71,3,8,e,24,0.0,12,89.4,87.8,na,3,0.8,350,0.13,0.86,4.129,0.522,2.591,123.5,4.264,288.5,97.54,218.6,374.8763284
1_071_B3_24_e,1,2,71,3,8,e,24,0.0,12,89.4,87.8,na,4,0.8,350,0.13,0.874,4.159,0.694,2.643,118.2,4.301,288.5,97.54,218.6,374.8763284
1_071_B3_24_e,1,2,71,3,8,e,24,0.0,12,89.4,87.8,na,5,0.8,350,0.13,0.874,4.159,0.694,2.643,118.2,4.301,288.5,97.54,218.6,374.8763284
1_071_B3_24_e,1,2,71,3,8,e,24,0.0,12,89.4,87.8,na,6,0.8,350,0.13,0.894,4.218,0.549,2.562,134.7,4.399,288.5,97.54,218.6,374.8763284
1_071_B3_23_f,1,2,71,3,8,f,23,0.0,12,89.4,87.8,na,1,0.8,350,0.1,0.685,2.701,-0.122,1.73,101.1,2.872,231.4,78.87,224.3,331.7784304
1_071_B3_23_f,1,2,71,3,8,f,23,0.0,12,89.4,87.8,na,2,0.8,350,0.1,0.644,2.576,-0.055,1.728,101.6,2.847,231.4,78.87,224.3,331.7784304
1_071_B3_23_f,1,2,71,3,8,f,23,0.0,12,89.4,87.8,na,3,0.8,350,0.1,0.692,2.674,-0.058,1.697,100.9,2.827,231.4,78.87,224.3,331.7784304
1_071_B3_23_f,1,2,71,3,8,f,23,0.0,12,89.4,87.8,na,4,0.8,350,0.1,0.66,2.606,-0.062,1.738,101.3,2.703,231.4,78.87,224.3,331.7784304
1_071_B3_23_f,1,2,71,3,8,f,23,0.0,12,89.4,87.8,na,5,0.8,350,0.1,0.698,2.76,-0.012,1.72,102.0,2.948,231.4,78.87,224.3,331.7784304
1_071_B3_23_f,1,2,71,3,8,f,23,0.0,12,89.4,87.8,na,6,0.8,350,0.1,0.698,2.677,-0.081,1.708,101.4,2.809,231.4,78.87,224.3,331.7784304
1_071_B3_25_g,1,2,71,3,9,g,25,0.0,12,89.4,87.8,na,1,0.8,390,0.07,0.489,2.194,0.262,2.071,71.7,2.582,175.1,62.81,125.2,224.2323485
1_071_B3_25_g,1,2,71,3,9,g,25,0.0,12,89.4,87.8,na,2,0.8,390,0.07,0.465,2.085,0.214,2.044,69.9,2.348,175.1,62.81,125.2,224.2323485
1_071_B3_25_g,1,2,71,3,9,g,25,0.0,12,89.4,87.8,na,3,0.8,390,0.07,0.484,2.237,0.343,2.202,70.4,2.492,175.1,62.81,125.2,224.2323485
1_071_B3_25_g,1,2,71,3,9,g,25,0.0,12,89.4,87.8,na,4,0.8,390,0.07,0.489,2.19,0.215,2.034,70.8,2.332,175.1,62.81,125.2,224.2323485
